test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,browse_products,00:00:30,global information,1500,1500,0,50,59.38,109.3,293.14,108.8,137.98,155.26,157.18,30.12,1.823,1.823,1.823,2.671,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,view_product,00:00:30,global information,900,900,0,30,105.89,209.71,357.36,214.78,260.22,296.7,310.53,57.82,0.330,0.336,0.339,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,search,00:00:30,global information,300,300,0,10,513.04,971.52,1504.86,954.37,1224.7,1440.77,1501.18,286.86,1.088,1.088,1.088,0.319,0,0,0,0,0,0,0,0,0,0,0,0,0
